,Nation,Player,Position,Season,"reihenfolge ASC, saison_id DESC, verein_id ASC",Club(s),Squad,Apps,PPM,Goals,Assists,own goals,Substituted on,Substituted off,Yellow cards,Yellow/red cards,Red cards,Penalty goals,Minutes per goal,Minutes played
499,France,NabilFekir,Attacking Midfield,17/18,Ligue 1,olympique-lyon,31,30,"1,93",18,7,0,2,6,8,0,0,3,133',24'
500,France,NabilFekir,Attacking Midfield,17/18,Europa League,olympique-lyon,8,8,"2,13",3,1,0,0,3,2,0,0,1,220',2.425'
501,France,NabilFekir,Attacking Midfield,17/18,Coupe de France,olympique-lyon,3,2,"3,00",2,0,0,0,0,0,0,0,1,90',383'
502,France,NabilFekir,Attacking Midfield,16/17,Ligue 1,olympique-lyon,32,32,"1,88",9,4,0,4,18,5,0,1,2,247',361'
503,France,NabilFekir,Attacking Midfield,16/17,Europa League,olympique-lyon,8,8,"2,00",4,4,0,3,0,2,0,0,0,130',180'
504,France,NabilFekir,Attacking Midfield,16/17,Coupe de France,olympique-lyon,2,2,"1,50",1,3,0,1,0,0,0,0,0,149',24'
505,France,NabilFekir,Attacking Midfield,16/17,Coupe de la Ligue,olympique-lyon,1,1,"0,00",0,1,0,0,0,0,0,0,0,0,230'
506,France,NabilFekir,Attacking Midfield,16/17,Champions League,olympique-lyon,5,5,"1,00",0,0,0,2,2,0,0,0,0,0,1.865'
507,France,NabilFekir,Attacking Midfield,16/17,Trophée des Champions,olympique-lyon,1,1,"0,00",0,0,0,0,0,0,0,0,0,0,150'
508,France,NabilFekir,Attacking Midfield,15/16,Ligue 1,olympique-lyon,10,9,"1,89",4,1,0,4,2,1,0,0,0,116',90'
509,France,NabilFekir,Attacking Midfield,14/15,Ligue 1,olympique-lyon,34,34,"2,18",13,12,0,0,18,7,0,0,0,213',44'
510,France,NabilFekir,Attacking Midfield,14/15,Coupe de France,olympique-lyon,2,2,"1,50",2,0,0,0,1,0,0,0,0,84',214'
511,France,NabilFekir,Attacking Midfield,14/15,Coupe de la Ligue,olympique-lyon,1,1,"0,00",0,0,0,0,1,0,0,0,0,0,3.083'
512,France,NabilFekir,Attacking Midfield,14/15,Europa League Qualifiers,olympique-lyon,2,2,"3,00",0,1,0,1,0,1,0,0,0,0,630'
513,France,NabilFekir,Attacking Midfield,13/14,Ligue 1,olympique-lyon,17,11,"1,45",1,3,0,5,4,2,0,0,0,550',23'
514,France,NabilFekir,Attacking Midfield,13/14,Coupe de la Ligue,olympique-lyon,3,2,"1,50",0,0,0,2,0,0,0,0,0,0,142'
515,France,NabilFekir,Attacking Midfield,13/14,Europa League,olympique-lyon,6,3,"0,67",0,0,0,3,0,0,0,0,0,0,2.327'
516,France,NabilFekir,Attacking Midfield,13/14,Champions League Qualification,olympique-lyon,1,-,0,0,0,0,0,0,0,0,0,0,0,384'
1282,Spain,Isco,Attacking Midfield,17/18,Champions League,real-madrid,12,11,"2,27",0,2,0,1,9,1,0,0,0,0,270'
1283,Spain,Isco,Attacking Midfield,17/18,LaLiga,real-madrid,33,30,"2,00",7,7,0,9,16,1,0,0,0,254',2.386'
1284,Spain,Isco,Attacking Midfield,17/18,Copa del Rey,real-madrid,4,4,"1,75",1,0,0,3,1,0,0,0,1,137',390'
1285,Spain,Isco,Attacking Midfield,17/18,Club World Cup,real-madrid,2,2,"3,00",0,0,0,0,2,0,0,0,0,0,568'
1286,Spain,Isco,Attacking Midfield,17/18,Supercopa,real-madrid,2,1,"3,00",0,1,0,0,0,0,0,0,0,0,180'
1287,Spain,Isco,Attacking Midfield,17/18,UEFA Supercup,real-madrid,1,1,"3,00",1,0,0,0,1,0,0,0,0,74',90'
1288,Spain,Isco,Attacking Midfield,16/17,Champions League,real-madrid,12,6,"2,50",1,0,0,1,5,1,0,0,0,386',1.900'
1289,Spain,Isco,Attacking Midfield,16/17,LaLiga,real-madrid,35,30,"2,67",10,9,0,12,13,4,0,0,0,164',120'
1290,Spain,Isco,Attacking Midfield,16/17,Copa del Rey,real-madrid,5,4,"2,50",0,1,0,1,3,0,0,0,0,0,801'
1291,Spain,Isco,Attacking Midfield,16/17,Club World Cup,real-madrid,2,1,"3,00",0,0,0,1,0,0,0,0,0,0,210'
1292,Spain,Isco,Attacking Midfield,16/17,UEFA Supercup,real-madrid,1,1,"3,00",0,0,0,0,1,0,0,0,0,0,2.294'
1293,Spain,Isco,Attacking Midfield,15/16,Champions League,real-madrid,13,11,"2,36",0,3,0,3,5,1,0,0,0,0,210'
1294,Spain,Isco,Attacking Midfield,15/16,LaLiga,real-madrid,36,31,"2,29",3,7,0,10,13,2,0,1,0,609',590'
1295,Spain,Isco,Attacking Midfield,15/16,Copa del Rey,real-madrid,1,1,"3,00",2,0,0,0,0,0,0,0,0,45',90'
1296,Spain,Isco,Attacking Midfield,14/15,LaLiga,real-madrid,35,34,"2,35",4,9,0,8,13,5,1,0,0,585',2.898'
1297,Spain,Isco,Attacking Midfield,14/15,Champions League,real-madrid,12,11,"2,09",0,0,0,1,5,1,0,0,0,0,270'
1298,Spain,Isco,Attacking Midfield,14/15,Copa del Rey,real-madrid,4,4,"1,75",1,3,0,0,1,1,0,0,0,346',540'
1299,Spain,Isco,Attacking Midfield,14/15,Club World Cup,real-madrid,2,2,"3,00",1,1,0,0,1,0,0,0,0,166',2.920'
1300,Spain,Isco,Attacking Midfield,14/15,Supercopa,real-madrid,2,1,"0,00",0,0,0,1,0,1,0,0,0,0,560'
1301,Spain,Isco,Attacking Midfield,14/15,UEFA Supercup,real-madrid,1,1,"3,00",0,0,0,1,0,0,0,0,0,0,0
1302,Spain,Isco,Attacking Midfield,13/14,Champions League,real-madrid,13,12,"2,75",3,2,0,6,4,1,0,0,0,214',1.772'
1303,Spain,Isco,Attacking Midfield,13/14,LaLiga,real-madrid,38,32,"2,31",8,7,0,9,13,1,0,0,0,249',1.067'
1304,Spain,Isco,Attacking Midfield,13/14,Copa del Rey,real-madrid,9,9,"2,78",0,0,0,3,4,1,0,0,0,0,2.700'
1305,Spain,Isco,Attacking Midfield,12/13,LaLiga,fc-malaga,38,37,"1,54",9,1,0,1,13,4,0,0,2,340',1.170'
1306,Spain,Isco,Attacking Midfield,12/13,Champions League,fc-malaga,10,8,"1,75",3,4,0,0,2,0,0,0,0,236',2.728'
1307,Spain,Isco,Attacking Midfield,12/13,Copa del Rey,fc-malaga,1,-,0,0,0,0,0,0,0,0,0,0,0,2.880'
1308,Spain,Isco,Attacking Midfield,12/13,Champions League Qualification,fc-malaga,2,2,"2,00",0,1,0,0,0,1,0,0,0,0,55'
1309,Spain,Isco,Attacking Midfield,11/12,LaLiga,fc-malaga,34,32,"1,63",5,5,0,3,8,5,2,0,0,503',270'
1310,Spain,Isco,Attacking Midfield,11/12,Copa del Rey,fc-malaga,3,3,"0,33",0,0,0,0,3,0,0,0,0,0,2.742'
1311,Spain,Isco,Attacking Midfield,10/11,LaLiga,fc-valencia,8,4,"1,75",0,0,0,4,0,0,0,0,0,0,180'
1312,Spain,Isco,Attacking Midfield,10/11,Copa del Rey,fc-valencia,2,1,"3,00",2,0,0,0,1,0,0,0,0,40',2.025'
1313,Spain,Isco,Attacking Midfield,10/11,Champions League,fc-valencia,2,2,"2,00",0,0,0,2,0,0,0,0,0,0,750'
1314,Spain,Isco,Attacking Midfield,09/10,LaLiga,fc-valencia,1,-,0,0,0,0,0,0,0,0,0,0,0,270'
1315,Spain,DavidSilva,Attacking Midfield,17/18,Premier League,manchester-city,30,29,"2,76",9,11,0,1,8,5,0,0,0,271',180'
1316,Spain,DavidSilva,Attacking Midfield,17/18,Champions League,manchester-city,8,7,"2,14",0,2,0,2,4,0,0,0,0,0,1.200'
1317,Spain,DavidSilva,Attacking Midfield,17/18,EFL Cup,manchester-city,2,2,"3,00",1,0,0,0,0,1,0,0,0,180',2.880'
1318,Spain,DavidSilva,Attacking Midfield,17/18,FA Cup,manchester-city,2,2,"1,50",0,1,0,0,1,0,0,0,0,0,450'
1319,Spain,DavidSilva,Attacking Midfield,16/17,Premier League,manchester-city,35,34,"2,06",4,8,0,3,11,6,0,0,0,692',180'
1320,Spain,DavidSilva,Attacking Midfield,16/17,FA Cup,manchester-city,5,4,"2,25",2,1,0,0,3,0,0,0,0,125',3.146'
1321,Spain,DavidSilva,Attacking Midfield,16/17,Champions League,manchester-city,6,6,"1,33",1,2,0,0,0,1,0,0,0,540',660'
1322,Spain,DavidSilva,Attacking Midfield,16/17,Champions League Qualification,manchester-city,2,1,"3,00",1,0,0,0,0,0,0,0,0,90',270'
1323,Spain,DavidSilva,Attacking Midfield,15/16,Champions League,manchester-city,8,8,"1,88",2,1,0,0,5,1,0,0,0,315',90'
1324,Spain,DavidSilva,Attacking Midfield,15/16,Premier League,manchester-city,24,24,"1,92",2,11,0,2,12,1,0,0,0,901',2.295'
1325,Spain,DavidSilva,Attacking Midfield,15/16,League Cup,manchester-city,4,4,"2,25",0,0,0,0,3,0,0,0,0,0,1.175'
1326,Spain,DavidSilva,Attacking Midfield,15/16,FA Cup,manchester-city,1,-,0,0,0,0,0,0,0,0,0,0,0,112'
1327,Spain,DavidSilva,Attacking Midfield,14/15,Premier League,manchester-city,32,32,"1,97",12,11,0,0,15,8,0,0,0,222',77'
1328,Spain,DavidSilva,Attacking Midfield,14/15,Champions League,manchester-city,6,6,"0,83",0,1,0,1,2,1,0,0,0,0,2.276'
1329,Spain,DavidSilva,Attacking Midfield,14/15,FA Cup,manchester-city,2,2,"1,50",0,2,0,1,0,0,0,0,0,0,1.015'
1330,Spain,DavidSilva,Attacking Midfield,14/15,League Cup,manchester-city,1,1,"0,00",0,0,0,0,1,0,0,0,0,0,2.499'
1331,Spain,DavidSilva,Attacking Midfield,14/15,Community Shield,manchester-city,1,1,"0,00",0,0,0,1,0,0,0,0,0,0,540'
1332,Spain,DavidSilva,Attacking Midfield,13/14,Premier League,manchester-city,27,27,"2,41",7,12,0,1,14,5,0,0,0,311',2.083'
1333,Spain,DavidSilva,Attacking Midfield,13/14,Champions League,manchester-city,6,6,"1,50",1,3,0,1,4,0,0,0,0,399',851'
1334,Spain,DavidSilva,Attacking Midfield,13/14,FA Cup,manchester-city,3,3,"1,33",0,1,0,1,2,0,0,0,0,0,3.129'
1335,Spain,DavidSilva,Attacking Midfield,13/14,League Cup,manchester-city,4,4,"3,00",0,0,0,1,3,1,0,0,0,0,180'
1336,Spain,DavidSilva,Attacking Midfield,12/13,Premier League,manchester-city,33,32,"2,03",4,10,0,3,16,2,0,0,0,631',360'
1337,Spain,DavidSilva,Attacking Midfield,12/13,FA Cup,manchester-city,5,5,"2,40",1,3,0,0,2,0,0,0,0,424',1.621'
1338,Spain,DavidSilva,Attacking Midfield,12/13,Champions League,manchester-city,3,3,"0,67",0,0,0,0,1,0,0,0,0,0,321'
1339,Spain,DavidSilva,Attacking Midfield,12/13,Community Shield,manchester-city,1,1,"3,00",0,0,0,1,0,0,0,0,0,0,90'
1340,Spain,DavidSilva,Attacking Midfield,11/12,Premier League,manchester-city,37,36,"2,39",6,17,0,3,18,0,0,0,0,469',450'
1341,Spain,DavidSilva,Attacking Midfield,11/12,Europa League,manchester-city,4,4,"2,25",1,0,0,0,2,0,0,0,0,328',270'
1342,Spain,DavidSilva,Attacking Midfield,11/12,League Cup,manchester-city,1,1,"1,00",0,1,0,0,0,0,0,0,0,0,210'
1343,Spain,DavidSilva,Attacking Midfield,11/12,FA Cup,manchester-city,1,1,"0,00",0,0,0,0,1,0,0,0,0,0,210'
1344,Spain,DavidSilva,Attacking Midfield,11/12,Champions League,manchester-city,6,6,"1,67",1,2,0,0,2,1,0,0,0,508',900'
1345,Spain,DavidSilva,Attacking Midfield,11/12,Community Shield,manchester-city,1,1,"0,00",0,1,0,0,0,0,0,0,0,0,1.890'
1346,Spain,DavidSilva,Attacking Midfield,10/11,Premier League,manchester-city,36,35,"1,89",4,8,0,5,16,2,0,0,0,640',1.860'
1347,Spain,DavidSilva,Attacking Midfield,10/11,FA Cup,manchester-city,7,7,"2,71",1,4,0,1,4,0,0,0,0,534',585'
1348,Spain,DavidSilva,Attacking Midfield,10/11,Europa League,manchester-city,9,8,"1,75",1,2,0,2,4,1,0,0,0,556',2.740'
1349,Spain,DavidSilva,Attacking Midfield,10/11,League Cup,manchester-city,1,1,"0,00",0,0,0,1,0,0,0,0,0,0,2.099'
1350,Spain,DavidSilva,Attacking Midfield,10/11,Europa League Qualifiers,manchester-city,2,2,"3,00",0,0,0,0,1,0,0,0,0,0,211'
