,Nation,Player,Position,Season,"reihenfolge ASC, saison_id DESC, verein_id ASC",Club(s),Squad,Apps,PPM,Goals,Assists,own goals,Substituted on,Substituted off,Yellow cards,Yellow/red cards,Red cards,Penalty goals,Minutes per goal,Minutes played
393,France,PaulPogba,Central Midfield,17/18,FA Cup,manchester-united,4,3,"2,00",0,1,0,0,0,0,0,0,0,0,90'
394,France,PaulPogba,Central Midfield,17/18,Premier League,manchester-united,27,27,"2,19",6,10,0,2,5,5,0,1,0,359',2.611'
395,France,PaulPogba,Central Midfield,17/18,Champions League,manchester-united,5,5,"1,40",0,1,0,2,2,0,0,0,0,0,894'
396,France,PaulPogba,Central Midfield,17/18,EFL Cup,manchester-united,1,1,"0,00",0,0,0,0,0,1,0,0,0,0,287'
397,France,PaulPogba,Central Midfield,17/18,UEFA Supercup,manchester-united,1,1,"0,00",0,0,0,0,0,0,0,0,0,0,87'
398,France,PaulPogba,Central Midfield,16/17,Europa League,manchester-united,15,15,"2,20",3,1,0,0,3,2,0,0,1,421',330'
399,France,PaulPogba,Central Midfield,16/17,Premier League,manchester-united,31,30,"1,97",5,4,0,1,3,7,0,0,0,522',1.809'
400,France,PaulPogba,Central Midfield,16/17,FA Cup,manchester-united,3,2,"1,50",0,1,0,1,0,0,0,0,0,0,118'
401,France,PaulPogba,Central Midfield,16/17,EFL Cup,manchester-united,4,4,"2,25",1,0,0,0,0,1,0,0,0,360',29'
402,France,PaulPogba,Central Midfield,15/16,Coppa Italia,juventus-turin,5,5,"2,40",1,0,0,1,0,2,0,0,0,424',197'
403,France,PaulPogba,Central Midfield,15/16,Serie A,juventus-turin,36,35,"2,43",8,13,0,2,2,10,0,0,1,378',38'
404,France,PaulPogba,Central Midfield,15/16,Champions League,juventus-turin,8,8,"1,50",1,2,0,0,0,0,0,0,0,750',716'
405,France,PaulPogba,Central Midfield,15/16,Supercoppa TIM,juventus-turin,1,1,"3,00",0,1,0,0,0,0,0,0,0,0,0
406,France,PaulPogba,Central Midfield,14/15,Champions League,juventus-turin,10,10,"1,70",1,3,0,0,3,3,0,0,0,833',120'
407,France,PaulPogba,Central Midfield,14/15,Serie A,juventus-turin,30,26,"2,27",8,7,0,2,4,4,0,0,0,264',150'
408,France,PaulPogba,Central Midfield,14/15,Coppa Italia,juventus-turin,4,4,"2,25",1,0,0,1,1,1,0,0,0,277',0
409,France,PaulPogba,Central Midfield,14/15,Supercoppa TIM,juventus-turin,1,1,"0,00",0,1,0,0,0,0,0,0,0,0,40'
410,France,PaulPogba,Central Midfield,13/14,Serie A,juventus-turin,37,36,"2,67",7,11,0,3,3,4,0,0,0,438',2.096'
411,France,PaulPogba,Central Midfield,13/14,Europa League,juventus-turin,8,8,"2,13",1,1,0,2,1,1,0,0,0,517',399'
412,France,PaulPogba,Central Midfield,13/14,Coppa Italia,juventus-turin,2,-,0,0,0,0,0,0,0,0,0,0,0,255'
413,France,PaulPogba,Central Midfield,13/14,Champions League,juventus-turin,6,6,"1,00",0,3,0,0,0,0,0,0,0,0,658'
414,France,PaulPogba,Central Midfield,13/14,Supercoppa TIM,juventus-turin,1,1,"3,00",1,1,0,1,0,0,0,0,0,69',75'
415,France,PaulPogba,Central Midfield,12/13,Serie A,juventus-turin,33,27,"2,30",5,0,0,9,3,1,0,1,0,347',71'
416,France,PaulPogba,Central Midfield,12/13,Champions League,juventus-turin,9,8,"2,00",0,0,0,5,0,1,0,0,0,0,1.499'
417,France,PaulPogba,Central Midfield,12/13,Coppa Italia,juventus-turin,4,2,"2,00",0,0,0,0,0,0,0,0,0,0,536'
418,France,PaulPogba,Central Midfield,11/12,Reserve League,manchester-united-u21,16,16,"2,50",3,6,0,0,5,1,0,0,0,445',330'
419,France,PaulPogba,Central Midfield,11/12,Premier League,manchester-united,11,3,"3,00",0,0,0,3,0,0,0,0,0,0,298'
420,France,PaulPogba,Central Midfield,11/12,Europa League,manchester-united,2,1,"0,00",0,0,0,1,0,1,0,0,0,0,289'
421,France,PaulPogba,Central Midfield,11/12,FA Cup,manchester-united,1,-,0,0,0,0,0,0,0,0,0,0,0,83'
422,France,PaulPogba,Central Midfield,11/12,League Cup,manchester-united,3,3,"2,00",0,0,0,3,0,0,0,0,0,0,90'
423,France,PaulPogba,Central Midfield,11/12,Champions League,manchester-united,1,-,0,0,0,0,0,0,0,0,0,0,0,34'
424,France,PaulPogba,Central Midfield,10/11,Reserve League,manchester-united-u21,3,3,"1,67",0,1,0,1,1,1,0,0,0,0,30'
425,France,PaulPogba,Central Midfield,10/11,FA Cup,manchester-united,1,-,0,0,0,0,0,0,0,0,0,0,0,930'
426,France,PaulPogba,Central Midfield,09/10,Reserve League North,manchester-united-u21,2,2,"3,00",0,0,0,2,0,0,0,0,0,0,57'
427,France,CorentinTolisso,Central Midfield,17/18,DFB-Pokal,fc-bayern-munchen,5,5,"2,40",1,1,0,3,1,0,0,0,0,277',143'
428,France,CorentinTolisso,Central Midfield,17/18,1.Bundesliga,fc-bayern-munchen,32,26,"2,50",6,4,0,9,6,3,0,0,0,254',120'
429,France,CorentinTolisso,Central Midfield,17/18,Champions League,fc-bayern-munchen,10,8,"2,00",3,2,0,2,3,2,0,0,0,165',510'
430,France,CorentinTolisso,Central Midfield,17/18,DFL-Supercup,fc-bayern-munchen,1,1,"3,00",0,0,0,0,1,0,0,0,0,0,2.040'
431,France,CorentinTolisso,Central Midfield,16/17,Ligue 1,olympique-lyon,33,31,"1,68",8,5,0,2,5,1,0,1,0,322',769'
432,France,CorentinTolisso,Central Midfield,16/17,Europa League,olympique-lyon,8,8,"2,00",2,1,0,1,0,1,0,0,0,335',68'
433,France,CorentinTolisso,Central Midfield,16/17,Coupe de France,olympique-lyon,1,1,"0,00",1,0,0,0,0,0,0,0,0,120',1.940'
434,France,CorentinTolisso,Central Midfield,16/17,Champions League,olympique-lyon,6,6,"1,33",2,1,0,1,2,1,0,0,0,225',149'
435,France,CorentinTolisso,Central Midfield,16/17,Trophée des Champions,olympique-lyon,1,1,"0,00",1,0,0,0,0,0,0,0,0,90',22'
436,France,CorentinTolisso,Central Midfield,15/16,Ligue 1,olympique-lyon,33,33,"1,70",5,6,0,5,5,3,0,0,0,516',2.966'
437,France,CorentinTolisso,Central Midfield,15/16,Coupe de France,olympique-lyon,3,3,"2,00",1,0,0,1,1,0,0,0,0,192',763'
438,France,CorentinTolisso,Central Midfield,15/16,Coupe de la Ligue,olympique-lyon,2,2,"1,50",1,0,0,0,0,0,0,0,0,180',143'
439,France,CorentinTolisso,Central Midfield,15/16,Champions League,olympique-lyon,6,6,"0,67",0,1,0,0,0,1,0,0,0,0,66'
440,France,CorentinTolisso,Central Midfield,15/16,Trophée des Champions,olympique-lyon,1,1,"0,00",0,0,0,0,0,0,0,0,0,0,223'
441,France,CorentinTolisso,Central Midfield,14/15,Ligue 1,olympique-lyon,38,38,"1,97",7,3,0,1,2,1,0,0,0,474',2.976'
442,France,CorentinTolisso,Central Midfield,14/15,Coupe de France,olympique-lyon,2,2,"1,50",0,0,0,0,0,0,0,0,0,0,334'
443,France,CorentinTolisso,Central Midfield,14/15,Coupe de la Ligue,olympique-lyon,1,-,0,0,0,0,0,0,0,0,0,0,0,190'
444,France,CorentinTolisso,Central Midfield,14/15,Europa League,olympique-lyon,2,2,"1,50",0,0,0,0,0,0,0,0,0,0,305'
445,France,CorentinTolisso,Central Midfield,14/15,Europa League Qualifiers,olympique-lyon,2,1,"3,00",0,0,0,0,0,0,0,0,0,0,946'
446,France,CorentinTolisso,Central Midfield,13/14,Ligue 1,olympique-lyon,24,14,"1,93",1,0,0,6,1,2,0,0,0,788',37'
447,France,CorentinTolisso,Central Midfield,13/14,Coupe de la Ligue,olympique-lyon,2,1,"0,00",0,0,0,0,0,0,0,0,0,0,420'
448,France,CorentinTolisso,Central Midfield,13/14,Europa League,olympique-lyon,11,9,"1,56",0,0,0,4,1,1,0,0,0,0,38'
449,France,CorentinTolisso,Central Midfield,13/14,Coupe de France,olympique-lyon,2,1,"3,00",0,0,0,0,1,0,0,0,0,0,110'
450,France,BlaiseMatuidi,Central Midfield,17/18,Serie A,juventus-turin,34,32,"2,41",3,2,0,5,6,3,0,0,0,785',2.518'
451,France,BlaiseMatuidi,Central Midfield,17/18,Coppa Italia,juventus-turin,5,5,"3,00",0,1,0,1,0,1,0,0,0,0,120'
452,France,BlaiseMatuidi,Central Midfield,17/18,Champions League,juventus-turin,9,9,"1,89",1,0,0,4,1,0,0,0,0,494',17'
453,France,BlaiseMatuidi,Central Midfield,17/18,Ligue 1,fc-paris-saint-germain,2,2,"3,00",0,0,0,2,0,0,0,0,0,0,2.089'
454,France,BlaiseMatuidi,Central Midfield,17/18,Trophée des Champions,fc-paris-saint-germain,1,1,"3,00",0,0,0,1,0,0,0,0,0,0,147'
455,France,BlaiseMatuidi,Central Midfield,16/17,Coupe de France,fc-paris-saint-germain,6,6,"3,00",1,1,0,1,0,1,0,0,0,470',111'
456,France,BlaiseMatuidi,Central Midfield,16/17,Ligue 1,fc-paris-saint-germain,36,34,"2,26",4,4,0,8,7,3,0,0,0,603',237'
457,France,BlaiseMatuidi,Central Midfield,16/17,Coupe de la Ligue,fc-paris-saint-germain,4,4,"3,00",0,1,0,3,0,0,0,0,0,0,2.258'
458,France,BlaiseMatuidi,Central Midfield,16/17,Champions League,fc-paris-saint-germain,8,8,"1,88",2,1,0,0,2,2,0,0,0,351',90'
459,France,BlaiseMatuidi,Central Midfield,16/17,Trophée des Champions,fc-paris-saint-germain,1,-,0,0,0,0,0,0,0,0,0,0,0,174'
460,France,BlaiseMatuidi,Central Midfield,15/16,Coupe de France,fc-paris-saint-germain,6,5,"3,00",1,1,0,1,2,1,0,0,0,333',509'
461,France,BlaiseMatuidi,Central Midfield,15/16,Ligue 1,fc-paris-saint-germain,32,31,"2,55",4,6,0,8,10,3,0,0,0,516',6'
462,France,BlaiseMatuidi,Central Midfield,15/16,Coupe de la Ligue,fc-paris-saint-germain,3,2,"3,00",0,0,0,1,0,0,0,0,0,0,53'
463,France,BlaiseMatuidi,Central Midfield,15/16,Champions League,fc-paris-saint-germain,9,9,"2,22",0,2,0,0,4,3,0,0,0,0,2.530'
464,France,BlaiseMatuidi,Central Midfield,15/16,Trophée des Champions,fc-paris-saint-germain,1,1,"3,00",0,0,0,0,0,0,0,0,0,0,630'
465,France,BlaiseMatuidi,Central Midfield,14/15,Coupe de France,fc-paris-saint-germain,5,5,"3,00",0,1,0,2,1,0,0,0,0,0,183'
466,France,BlaiseMatuidi,Central Midfield,14/15,Ligue 1,fc-paris-saint-germain,37,34,"2,24",4,2,0,9,11,2,0,0,0,547',529'
467,France,BlaiseMatuidi,Central Midfield,14/15,Champions League,fc-paris-saint-germain,10,10,"1,50",1,2,0,0,3,2,0,0,0,867',3.067'
468,France,BlaiseMatuidi,Central Midfield,14/15,Coupe de la Ligue,fc-paris-saint-germain,4,4,"3,00",0,0,0,1,0,1,0,0,0,0,1.068'
469,France,BlaiseMatuidi,Central Midfield,13/14,Ligue 1,fc-paris-saint-germain,38,36,"2,31",5,3,0,9,4,4,0,0,0,511',424'
470,France,BlaiseMatuidi,Central Midfield,13/14,Coupe de la Ligue,fc-paris-saint-germain,4,4,"3,00",1,0,0,2,0,0,0,0,0,251',1.135'
471,France,BlaiseMatuidi,Central Midfield,13/14,Champions League,fc-paris-saint-germain,9,9,"2,11",1,3,0,1,3,2,0,0,0,695',3.055'
472,France,BlaiseMatuidi,Central Midfield,13/14,Coupe de France,fc-paris-saint-germain,2,2,"1,50",0,1,0,0,0,1,0,0,0,0,190'
473,France,BlaiseMatuidi,Central Midfield,13/14,Trophée des Champions,fc-paris-saint-germain,1,1,"3,00",0,0,0,0,0,1,0,0,0,0,2.474'
474,France,BlaiseMatuidi,Central Midfield,12/13,Ligue 1,fc-paris-saint-germain,37,37,"2,16",5,0,0,2,2,3,1,0,0,626',537'
