,Nation,Player,Position,Season,"reihenfolge ASC, saison_id DESC, verein_id ASC",Club(s),Squad,Apps,PPM,Goals,Assists,own goals,Substituted on,Substituted off,Yellow cards,Yellow/red cards,Red cards,Penalty goals,Minutes per goal,Minutes played
128,France,RaphaëlVarane,Centre-Back,17/18,Champions League,real-madrid,12,11,"2,36",0,1,1,0,1,1,0,0,0,0,210'
129,France,RaphaëlVarane,Centre-Back,17/18,LaLiga,real-madrid,30,27,"1,85",0,1,0,0,2,3,0,0,0,0,270'
130,France,RaphaëlVarane,Centre-Back,17/18,Copa del Rey,real-madrid,3,1,"3,00",0,0,0,0,0,0,0,0,0,0,2.948'
131,France,RaphaëlVarane,Centre-Back,17/18,Club World Cup,real-madrid,2,2,"3,00",0,0,0,0,0,0,0,0,0,0,390'
132,France,RaphaëlVarane,Centre-Back,17/18,Supercopa,real-madrid,2,2,"3,00",0,0,0,0,0,0,0,0,0,0,27'
133,France,RaphaëlVarane,Centre-Back,17/18,UEFA Supercup,real-madrid,1,1,"3,00",0,0,0,0,0,0,0,0,0,0,2.139'
134,France,RaphaëlVarane,Centre-Back,16/17,Champions League,real-madrid,10,10,"2,10",2,0,0,0,0,0,0,0,0,450',300'
135,France,RaphaëlVarane,Centre-Back,16/17,LaLiga,real-madrid,26,23,"2,39",1,2,0,0,4,1,0,0,0,1.927',180'
136,France,RaphaëlVarane,Centre-Back,16/17,Copa del Rey,real-madrid,5,3,"2,00",1,0,0,1,0,0,0,0,0,224',361'
137,France,RaphaëlVarane,Centre-Back,16/17,Club World Cup,real-madrid,2,2,"3,00",0,0,0,0,0,0,0,0,0,0,45'
138,France,RaphaëlVarane,Centre-Back,16/17,UEFA Supercup,real-madrid,1,1,"3,00",0,0,0,0,0,0,0,0,0,0,90'
139,France,RaphaëlVarane,Centre-Back,15/16,LaLiga,real-madrid,31,26,"2,35",0,0,0,3,0,4,1,0,0,0,2.061'
140,France,RaphaëlVarane,Centre-Back,15/16,Champions League,real-madrid,10,7,"2,71",0,0,0,1,2,1,0,0,0,0,525'
141,France,RaphaëlVarane,Centre-Back,14/15,LaLiga,real-madrid,35,27,"2,48",0,0,0,6,1,1,0,0,0,0,213'
142,France,RaphaëlVarane,Centre-Back,14/15,Champions League,real-madrid,12,12,"2,17",0,0,0,1,0,0,0,0,0,0,92'
143,France,RaphaëlVarane,Centre-Back,14/15,Copa del Rey,real-madrid,4,4,"1,75",2,0,0,1,1,1,0,0,0,128',267'
144,France,RaphaëlVarane,Centre-Back,14/15,Club World Cup,real-madrid,2,2,"3,00",0,0,0,2,0,0,0,0,0,0,337'
145,France,RaphaëlVarane,Centre-Back,14/15,Supercopa,real-madrid,2,1,"0,00",0,0,0,0,0,0,0,0,0,0,1.952'
146,France,RaphaëlVarane,Centre-Back,14/15,UEFA Supercup,real-madrid,1,-,0,0,0,0,0,0,0,0,0,0,0,606'
147,France,RaphaëlVarane,Centre-Back,13/14,Champions League,real-madrid,10,7,"2,29",0,0,0,3,0,2,0,0,0,0,90'
148,France,RaphaëlVarane,Centre-Back,13/14,LaLiga,real-madrid,22,14,"2,07",0,1,0,2,1,1,0,0,0,0,2.920'
149,France,RaphaëlVarane,Centre-Back,13/14,Copa del Rey,real-madrid,3,2,"3,00",0,0,0,1,0,0,0,0,0,0,49'
150,France,RaphaëlVarane,Centre-Back,12/13,LaLiga,real-madrid,25,15,"2,53",0,0,0,3,1,0,0,0,0,0,90'
151,France,RaphaëlVarane,Centre-Back,12/13,Champions League,real-madrid,12,11,"1,64",0,0,0,1,0,0,0,0,0,0,1.730'
152,France,RaphaëlVarane,Centre-Back,12/13,Copa del Rey,real-madrid,8,7,"2,00",2,0,0,1,0,1,0,0,0,292',210'
153,France,RaphaëlVarane,Centre-Back,12/13,Supercopa,real-madrid,1,-,0,0,0,0,0,0,0,0,0,0,0,90'
154,France,RaphaëlVarane,Centre-Back,11/12,LaLiga,real-madrid,24,9,"2,78",1,0,0,2,0,0,0,0,0,680',180'
155,France,RaphaëlVarane,Centre-Back,11/12,Champions League,real-madrid,10,4,"3,00",0,1,0,0,0,0,0,0,0,0,2.520'
156,France,RaphaëlVarane,Centre-Back,11/12,Copa del Rey,real-madrid,3,2,"3,00",1,0,0,0,0,0,0,0,0,180',181'
157,France,RaphaëlVarane,Centre-Back,11/12,Supercopa,real-madrid,1,-,0,0,0,0,0,0,0,0,0,0,0,120'
158,France,RaphaëlVarane,Centre-Back,10/11,Ligue 1,rc-lens,28,23,"1,00",2,0,0,1,1,2,0,0,0,988',2.529'
159,France,RaphaëlVarane,Centre-Back,10/11,Coupe de France,rc-lens,1,1,"0,00",0,0,0,0,0,1,0,0,0,0,210'
160,France,SamuelUmtiti,Centre-Back,17/18,LaLiga,fc-barcelona,28,25,"2,44",1,0,0,1,1,7,0,0,0,2.189',90'
161,France,SamuelUmtiti,Centre-Back,17/18,Copa del Rey,fc-barcelona,4,4,"3,00",0,0,0,0,0,0,0,0,0,0,2.114'
162,France,SamuelUmtiti,Centre-Back,17/18,Champions League,fc-barcelona,9,9,"2,00",0,0,0,0,0,0,0,0,0,0,613'
