,Nation,Player,Position,Season,"reihenfolge ASC, saison_id DESC, verein_id ASC",Club(s),Squad,Apps,PPM,Goals,Assists,own goals,Substituted on,Substituted off,Yellow cards,Yellow/red cards,Red cards,Penalty goals,Minutes per goal,Minutes played
591,France,AntoineGriezmann,Centre-Forward,17/18,LaLiga,atletico-madrid,33,32,"2,06",19,9,0,2,12,6,1,0,2,133',0
592,France,AntoineGriezmann,Centre-Forward,17/18,Europa League,atletico-madrid,9,8,"2,38",6,4,0,1,4,0,0,0,0,105',90'
593,France,AntoineGriezmann,Centre-Forward,17/18,Copa del Rey,atletico-madrid,4,3,"1,00",2,0,0,1,1,0,0,0,0,92',25'
594,France,AntoineGriezmann,Centre-Forward,17/18,Champions League,atletico-madrid,6,6,"1,17",2,2,0,0,1,1,0,0,1,265',23'
595,France,AntoineGriezmann,Centre-Forward,16/17,LaLiga,atletico-madrid,37,36,"2,06",16,8,0,0,14,3,0,0,0,192',990'
596,France,AntoineGriezmann,Centre-Forward,16/17,Champions League,atletico-madrid,12,12,"2,17",6,2,0,0,3,0,0,0,2,178',2.291'
597,France,AntoineGriezmann,Centre-Forward,16/17,Copa del Rey,atletico-madrid,5,5,"1,40",4,2,0,0,1,1,0,0,0,106',90'
598,France,AntoineGriezmann,Centre-Forward,15/16,Champions League,atletico-madrid,13,13,"1,77",7,1,0,0,7,1,0,0,1,162',90'
599,France,AntoineGriezmann,Centre-Forward,15/16,LaLiga,atletico-madrid,38,38,"2,32",22,6,0,2,16,5,0,0,1,139',180'
600,France,AntoineGriezmann,Centre-Forward,15/16,Copa del Rey,atletico-madrid,3,3,"1,33",3,0,0,1,1,0,0,0,0,63',90'
601,France,AntoineGriezmann,Centre-Forward,14/15,LaLiga,atletico-madrid,37,37,"2,08",22,3,0,8,20,6,0,0,0,112',1.001'
602,France,AntoineGriezmann,Centre-Forward,14/15,Champions League,atletico-madrid,10,9,"1,78",2,0,0,4,3,1,0,0,0,269',2.489'
