,Nation,Player,Position,Season,"reihenfolge ASC, saison_id DESC, verein_id ASC",Club(s),Squad,Apps,PPM,Goals,Assists,own goals,Substituted on,Substituted off,Yellow cards,Yellow/red cards,Red cards,Penalty goals,Minutes per goal,Minutes played
340,France,NGoloKanté,Defensive Midfield,17/18,FA Cup,fc-chelsea,5,5,"3,00",0,1,0,1,1,0,0,0,0,0,282'
341,France,NGoloKanté,Defensive Midfield,17/18,Premier League,fc-chelsea,34,34,"1,88",1,1,0,0,4,3,0,0,0,2.998',2.553'
342,France,NGoloKanté,Defensive Midfield,17/18,Champions League,fc-chelsea,6,6,"1,83",0,0,0,0,2,0,0,0,0,0,251'
343,France,NGoloKanté,Defensive Midfield,17/18,EFL Cup,fc-chelsea,2,2,"0,50",0,0,0,0,0,1,0,0,0,0,695'
344,France,NGoloKanté,Defensive Midfield,17/18,Community Shield,fc-chelsea,1,1,"0,00",0,0,0,0,0,0,0,0,0,0,180'
345,France,NGoloKanté,Defensive Midfield,16/17,FA Cup,fc-chelsea,5,5,"2,40",1,0,0,2,0,2,0,0,0,297',90'
346,France,NGoloKanté,Defensive Midfield,16/17,Premier League,fc-chelsea,36,35,"2,40",1,1,0,0,1,9,0,0,0,3.139',3.131'
347,France,NGoloKanté,Defensive Midfield,16/17,EFL Cup,fc-chelsea,2,1,"0,00",0,0,0,0,0,0,0,0,0,0,324'
348,France,NGoloKanté,Defensive Midfield,15/16,Premier League,leicester-city,37,37,"2,16",1,4,0,4,2,3,0,0,0,3.020',810'
349,France,NGoloKanté,Defensive Midfield,15/16,FA Cup,leicester-city,2,1,"1,00",0,0,0,0,1,0,0,0,0,0,199'
350,France,NGoloKanté,Defensive Midfield,15/16,League Cup,leicester-city,2,2,"3,00",0,0,0,1,0,0,0,0,0,0,2.163'
351,France,NGoloKanté,Defensive Midfield,14/15,Ligue 1,sm-caen,37,37,"1,24",2,5,0,1,1,3,1,0,0,1.592',126'
352,France,NGoloKanté,Defensive Midfield,14/15,Coupe de France,sm-caen,1,1,"0,00",1,0,0,0,0,0,0,0,0,120',210'
353,France,NGoloKanté,Defensive Midfield,14/15,Coupe de la Ligue,sm-caen,1,1,"3,00",0,0,0,1,0,0,0,0,0,0,3.052'
354,France,NGoloKanté,Defensive Midfield,13/14,Ligue 2,sm-caen,38,38,"1,68",2,2,0,2,6,6,0,0,0,1.606',90'
355,France,NGoloKanté,Defensive Midfield,13/14,Coupe de France,sm-caen,3,3,"2,00",1,2,0,0,1,0,0,0,0,240',180'
356,France,NGoloKanté,Defensive Midfield,13/14,Coupe de la Ligue,sm-caen,1,1,"3,00",0,0,0,0,0,0,0,0,0,0,3.039'
357,France,NGoloKanté,Defensive Midfield,12/13,Coupe de France,us-boulogne,1,1,"0,00",0,0,0,0,0,0,0,0,0,0,291'
358,France,NGoloKanté,Defensive Midfield,12/13,Coupe de la Ligue,us-boulogne,1,-,0,0,0,0,0,0,0,0,0,0,0,180'
359,France,NGoloKanté,Defensive Midfield,11/12,Ligue 2,us-boulogne,1,1,"0,00",0,0,0,1,0,0,0,0,0,0,2.327'
360,France,StevenNzonzi,Defensive Midfield,17/18,LaLiga,fc-sevilla,29,27,"1,63",1,2,0,1,3,2,0,0,0,2.215',746'
361,France,StevenNzonzi,Defensive Midfield,17/18,Copa del Rey,fc-sevilla,7,7,"2,29",0,0,0,0,1,0,0,0,0,0,169'
362,France,StevenNzonzi,Defensive Midfield,17/18,Champions League,fc-sevilla,8,8,"1,63",0,0,0,0,1,2,0,0,0,0,90'
363,France,StevenNzonzi,Defensive Midfield,17/18,Champions League Qualification,fc-sevilla,2,2,"2,00",0,0,0,0,0,0,0,0,0,0,2.801'
364,France,StevenNzonzi,Defensive Midfield,16/17,LaLiga,fc-sevilla,36,35,"1,94",2,3,0,1,2,7,0,0,0,1.533',45'
365,France,StevenNzonzi,Defensive Midfield,16/17,Champions League,fc-sevilla,8,8,"1,75",1,0,0,0,0,1,0,0,0,720',120'
366,France,StevenNzonzi,Defensive Midfield,16/17,Copa del Rey,fc-sevilla,1,1,"0,00",0,0,0,0,0,0,0,0,0,0,2.856'
367,France,StevenNzonzi,Defensive Midfield,16/17,Supercopa,fc-sevilla,2,1,"0,00",0,0,0,0,0,0,0,0,0,0,90'
368,France,StevenNzonzi,Defensive Midfield,16/17,UEFA Supercup,fc-sevilla,1,1,"0,00",0,0,0,0,0,0,0,0,0,0,2.526'
369,France,StevenNzonzi,Defensive Midfield,15/16,Europa League,fc-sevilla,8,7,"2,14",0,0,0,0,0,1,1,0,0,0,117'
370,France,StevenNzonzi,Defensive Midfield,15/16,LaLiga,fc-sevilla,34,28,"1,61",3,2,0,6,7,2,1,0,0,615',90'
371,France,StevenNzonzi,Defensive Midfield,15/16,Copa del Rey,fc-sevilla,8,6,"2,67",1,0,0,1,2,3,0,1,0,441',2.395'
372,France,StevenNzonzi,Defensive Midfield,15/16,Champions League,fc-sevilla,6,5,"1,20",0,0,0,2,1,1,0,0,0,0,660'
