,Nation,Player,Position,Season,"reihenfolge ASC, saison_id DESC, verein_id ASC",Club(s),Squad,Apps,PPM,Goals,own goals,Substituted on,Substituted off,Yellow cards,Yellow/red cards,Red cards,Conceded goals,Matches without conceded goals,Minutes played
0,France,HugoLloris,Keeper,17/18,Premier League,tottenham-hotspur,36,36,"2,03",0,0,0,0,1,0,0,35,15,3.240'
1,France,HugoLloris,Keeper,17/18,FA Cup,tottenham-hotspur,3,-,0,0,0,0,0,0,0,0,0,0,0
2,France,HugoLloris,Keeper,17/18,Champions League,tottenham-hotspur,7,7,"2,00",0,0,0,0,0,0,0,8,1,630'
3,France,HugoLloris,Keeper,16/17,Premier League,tottenham-hotspur,34,34,"2,29",0,0,0,1,0,0,0,24,15,3.005'
4,France,HugoLloris,Keeper,16/17,FA Cup,tottenham-hotspur,2,1,"0,00",0,0,0,0,0,0,0,4,0,90'
5,France,HugoLloris,Keeper,16/17,Europa League,tottenham-hotspur,2,2,"0,50",0,0,0,0,0,0,0,3,0,180'
6,France,HugoLloris,Keeper,16/17,Champions League,tottenham-hotspur,6,6,"1,17",0,0,0,0,0,0,0,6,2,540'
7,France,HugoLloris,Keeper,15/16,Premier League,tottenham-hotspur,38,37,"1,89",0,0,0,0,0,0,0,34,13,3.330'
8,France,HugoLloris,Keeper,15/16,Europa League,tottenham-hotspur,9,9,"1,78",0,0,0,0,0,0,0,11,2,810'
9,France,HugoLloris,Keeper,15/16,FA Cup,tottenham-hotspur,3,-,0,0,0,0,0,0,0,0,0,0,0
10,France,HugoLloris,Keeper,15/16,League Cup,tottenham-hotspur,1,-,0,0,0,0,0,0,0,0,0,0,0
11,France,HugoLloris,Keeper,15/16,U21 PL,tottenham-hotspur-u21,1,1,"3,00",0,0,0,0,0,0,0,1,0,90'
12,France,HugoLloris,Keeper,14/15,Premier League,tottenham-hotspur,35,35,"1,71",0,0,0,1,0,0,0,48,9,3.064'
13,France,HugoLloris,Keeper,14/15,League Cup,tottenham-hotspur,2,1,"0,00",0,0,0,0,0,0,0,2,0,90'
14,France,HugoLloris,Keeper,14/15,Europa League,tottenham-hotspur,9,8,"1,88",0,0,0,0,0,0,1,5,4,717'
15,France,HugoLloris,Keeper,14/15,FA Cup,tottenham-hotspur,1,-,0,0,0,0,0,0,0,0,0,0,0
16,France,HugoLloris,Keeper,13/14,Premier League,tottenham-hotspur,37,37,"1,86",0,0,0,0,2,0,0,50,14,3.330'
17,France,HugoLloris,Keeper,13/14,Europa League,tottenham-hotspur,7,6,"2,50",0,0,0,0,0,0,0,4,4,540'
18,France,HugoLloris,Keeper,13/14,FA Cup,tottenham-hotspur,1,1,"0,00",0,0,0,0,0,0,0,2,0,90'
19,France,HugoLloris,Keeper,13/14,League Cup,tottenham-hotspur,2,1,"0,00",0,0,0,0,0,0,0,2,0,120'
20,France,HugoLloris,Keeper,12/13,Premier League,tottenham-hotspur,34,27,"2,04",0,0,0,0,0,0,0,29,9,2.430'
21,France,HugoLloris,Keeper,12/13,Europa League,tottenham-hotspur,11,5,"1,40",0,0,0,0,0,0,0,3,2,510'
22,France,HugoLloris,Keeper,12/13,FA Cup,tottenham-hotspur,1,-,0,0,0,0,0,0,0,0,0,0,0
23,France,HugoLloris,Keeper,12/13,League Cup,tottenham-hotspur,1,1,"0,00",0,0,0,0,0,0,0,2,0,90'
24,France,HugoLloris,Keeper,12/13,Ligue 1,olympique-lyon,2,2,"2,00",0,0,0,0,0,0,0,2,0,180'
25,France,HugoLloris,Keeper,12/13,Trophée des Champions,olympique-lyon,1,1,"3,00",0,0,0,0,0,0,0,2,0,120'
26,France,HugoLloris,Keeper,11/12,Ligue 1,olympique-lyon,36,36,"1,61",0,1,0,0,0,0,1,48,6,3.194'
27,France,HugoLloris,Keeper,11/12,Coupe de France,olympique-lyon,4,4,"3,00",0,0,0,0,0,0,0,2,2,390'
28,France,HugoLloris,Keeper,11/12,Coupe de la Ligue,olympique-lyon,4,3,"2,00",0,0,0,0,0,0,0,4,0,330'
29,France,HugoLloris,Keeper,11/12,Champions League,olympique-lyon,8,8,"1,38",0,1,0,0,0,0,0,8,4,750'
30,France,HugoLloris,Keeper,11/12,Champions League Qualification,olympique-lyon,2,2,"2,00",0,0,0,0,0,0,0,2,0,180'
31,France,HugoLloris,Keeper,10/11,Ligue 1,olympique-lyon,37,37,"1,65",0,0,0,0,0,0,0,40,11,3.330'
32,France,HugoLloris,Keeper,10/11,Champions League,olympique-lyon,8,8,"1,38",0,0,0,0,0,0,0,14,2,720'
33,France,HugoLloris,Keeper,10/11,Coupe de France,olympique-lyon,2,2,"1,50",0,0,0,0,0,0,0,1,1,210'
34,France,HugoLloris,Keeper,09/10,Ligue 1,olympique-lyon,36,36,"1,92",0,0,0,0,1,0,0,33,16,3.240'
35,France,HugoLloris,Keeper,09/10,Champions League,olympique-lyon,12,12,"1,67",0,0,0,0,0,0,0,10,4,1.080'
36,France,HugoLloris,Keeper,09/10,Coupe de la Ligue,olympique-lyon,2,-,0,0,0,0,0,0,0,0,0,0,0
37,France,HugoLloris,Keeper,09/10,Coupe de France,olympique-lyon,2,2,"1,50",0,0,0,0,0,0,0,3,0,180'
38,France,HugoLloris,Keeper,09/10,Champions League Qualification,olympique-lyon,2,2,"3,00",0,0,0,0,0,0,0,2,0,180'
39,France,HugoLloris,Keeper,08/09,Ligue 1,olympique-lyon,35,35,"1,91",0,0,0,0,1,0,0,27,16,3.150'
40,France,HugoLloris,Keeper,08/09,Champions League,olympique-lyon,8,8,"1,50",0,0,0,0,0,0,0,16,1,720'
41,France,HugoLloris,Keeper,08/09,Coupe de France,olympique-lyon,2,2,"3,00",0,0,0,0,0,0,0,0,2,180'
42,France,HugoLloris,Keeper,08/09,Trophée des Champions,olympique-lyon,1,1,"0,00",0,0,0,0,0,0,0,0,1,120'
43,France,HugoLloris,Keeper,07/08,Ligue 1,ogc-nizza,30,30,"1,33",0,0,0,2,2,0,0,24,13,2.637'
44,France,HugoLloris,Keeper,07/08,Coupe de France,ogc-nizza,2,-,0,0,0,0,0,0,0,0,0,0,0
45,France,HugoLloris,Keeper,06/07,Ligue 1,ogc-nizza,37,37,"1,14",0,0,0,0,0,0,0,37,13,3.330'
46,France,HugoLloris,Keeper,06/07,Coupe de la Ligue,ogc-nizza,1,-,0,0,0,0,0,0,0,0,0,0,0
47,France,HugoLloris,Keeper,05/06,Ligue 1,ogc-nizza,19,5,"1,80",0,0,0,0,0,0,0,5,1,450'
48,France,HugoLloris,Keeper,05/06,Coupe de la Ligue,ogc-nizza,5,5,"2,40",0,0,0,0,0,0,0,3,3,510'
49,France,AlphonseAreola,Keeper,17/18,Ligue 1,fc-paris-saint-germain,37,34,"2,47",0,0,0,0,0,0,0,25,17,3.060'
50,France,AlphonseAreola,Keeper,17/18,Coupe de France,fc-paris-saint-germain,6,1,"3,00",0,0,0,0,0,0,0,0,1,90'
51,France,AlphonseAreola,Keeper,17/18,Coupe de la Ligue,fc-paris-saint-germain,4,-,0,0,0,0,0,0,0,0,0,0,0
52,France,AlphonseAreola,Keeper,17/18,Champions League,fc-paris-saint-germain,8,8,"1,88",0,0,0,0,0,0,0,9,4,720'
53,France,AlphonseAreola,Keeper,17/18,Trophée des Champions,fc-paris-saint-germain,1,1,"3,00",0,0,0,0,0,0,0,1,0,90'
54,France,AlphonseAreola,Keeper,16/17,Coupe de France,fc-paris-saint-germain,6,5,"3,00",0,0,0,0,0,0,0,0,5,450'
55,France,AlphonseAreola,Keeper,16/17,Ligue 1,fc-paris-saint-germain,35,15,"2,00",0,0,1,0,0,0,0,14,6,1.296'
56,France,AlphonseAreola,Keeper,16/17,Coupe de la Ligue,fc-paris-saint-germain,4,1,"3,00",0,0,0,0,0,0,0,0,1,90'
57,France,AlphonseAreola,Keeper,16/17,Champions League,fc-paris-saint-germain,8,6,"2,00",0,0,0,0,0,0,0,7,1,540'
58,France,AlphonseAreola,Keeper,16/17,Trophée des Champions,fc-paris-saint-germain,1,-,0,0,0,0,0,0,0,0,0,0,0
59,France,AlphonseAreola,Keeper,15/16,LaLiga,fc-villarreal,36,32,"1,84",0,0,0,0,1,0,0,26,15,2.880'
60,France,AlphonseAreola,Keeper,15/16,Europa League,fc-villarreal,13,5,"2,00",0,0,0,0,0,0,0,6,2,450'
