,Nation,Player,Position,Season,"reihenfolge ASC, saison_id DESC, verein_id ASC",Club(s),Squad,Apps,PPM,Goals,Assists,own goals,Substituted on,Substituted off,Yellow cards,Yellow/red cards,Red cards,Penalty goals,Minutes per goal,Minutes played
3513,England,AshleyYoung,Left Midfield,17/18,FA Cup,manchester-united,5,4,"2,25",0,1,0,1,0,1,0,0,0,0,210'
3514,England,AshleyYoung,Left Midfield,17/18,Premier League,manchester-united,32,30,"1,97",2,5,0,2,7,7,0,0,0,1.224',160'
3515,England,AshleyYoung,Left Midfield,17/18,Champions League,manchester-united,7,4,"1,75",0,1,0,0,1,1,0,0,0,0,1.571'
3516,England,AshleyYoung,Left Midfield,17/18,EFL Cup,manchester-united,1,-,0,0,0,0,0,0,0,0,0,0,0,353'
3517,England,AshleyYoung,Left Midfield,17/18,Premier League 2,manchester-united-u21,1,1,"1,00",0,0,0,0,1,0,0,0,0,0,270'
3518,England,AshleyYoung,Left Midfield,16/17,Europa League,manchester-united,10,7,"2,29",0,0,0,4,1,0,0,0,0,0,24'
3519,England,AshleyYoung,Left Midfield,16/17,Premier League,manchester-united,21,12,"1,92",0,1,0,4,3,2,0,0,0,0,90'
3520,England,AshleyYoung,Left Midfield,16/17,FA Cup,manchester-united,4,3,"2,00",0,0,0,0,1,3,0,0,0,0,1.691'
3521,England,AshleyYoung,Left Midfield,16/17,EFL Cup,manchester-united,3,1,"3,00",0,0,0,0,0,0,0,0,0,0,360'
3522,England,AshleyYoung,Left Midfield,15/16,FA Cup,manchester-united,2,1,"3,00",0,0,0,1,0,0,0,0,0,0,270'
3523,England,AshleyYoung,Left Midfield,15/16,Premier League,manchester-united,25,18,"1,72",1,3,0,7,3,5,0,0,0,1.061',454'
3524,England,AshleyYoung,Left Midfield,15/16,U21 PL,manchester-united-u21,1,1,"1,00",0,0,0,0,0,0,0,0,0,0,14'
3525,England,AshleyYoung,Left Midfield,15/16,Champions League,manchester-united,5,4,"1,75",0,0,0,2,1,1,0,0,0,0,764'
3526,England,AshleyYoung,Left Midfield,15/16,League Cup,manchester-united,2,2,"1,50",0,0,0,1,0,0,0,0,0,0,405'
3527,England,AshleyYoung,Left Midfield,15/16,Champions League Qualification,manchester-united,2,1,"3,00",0,0,0,1,0,0,0,0,0,0,1.877'
3528,England,AshleyYoung,Left Midfield,14/15,Premier League,manchester-united,26,26,"1,81",2,5,0,3,6,5,0,0,0,1.034',470'
3529,England,AshleyYoung,Left Midfield,14/15,FA Cup,manchester-united,3,3,"2,00",0,1,0,2,0,1,0,0,0,0,0
3530,England,AshleyYoung,Left Midfield,14/15,U21 PL,manchester-united-u21,1,1,"3,00",0,0,0,0,1,0,0,0,0,0,109'
3531,England,AshleyYoung,Left Midfield,13/14,Premier League,manchester-united,31,20,"1,70",2,4,0,7,8,4,0,0,0,516',432'
3532,England,AshleyYoung,Left Midfield,13/14,Champions League,manchester-united,10,8,"2,13",0,0,0,6,1,0,0,0,0,0,888'
3533,England,AshleyYoung,Left Midfield,13/14,League Cup,manchester-united,3,2,"3,00",1,1,0,0,0,1,0,0,0,210',2.499'
3534,England,AshleyYoung,Left Midfield,12/13,Premier League,manchester-united,20,19,"2,42",0,5,0,2,8,1,0,0,0,0,90'
3535,England,AshleyYoung,Left Midfield,12/13,FA Cup,manchester-united,4,2,"1,50",0,0,0,1,1,0,0,0,0,0,810'
3536,England,AshleyYoung,Left Midfield,12/13,Champions League,manchester-united,5,2,"0,00",0,0,0,2,0,0,0,0,0,0,1.919'
3537,England,AshleyYoung,Left Midfield,11/12,Premier League,manchester-united,28,25,"2,32",6,11,0,6,11,3,0,0,0,262',120'
3538,England,AshleyYoung,Left Midfield,11/12,Europa League,manchester-united,4,4,"0,75",1,0,0,0,2,0,0,0,0,317',756'
3539,England,AshleyYoung,Left Midfield,11/12,Champions League,manchester-united,3,3,"0,67",1,0,0,0,1,1,0,0,0,244',679'
3540,England,AshleyYoung,Left Midfield,11/12,Community Shield,manchester-united,1,1,"3,00",0,1,0,0,0,0,0,0,0,0,255'
3541,England,AshleyYoung,Left Midfield,10/11,Premier League,aston-villa,34,34,"1,38",7,9,0,0,3,8,0,0,4,436',45'
3542,England,AshleyYoung,Left Midfield,10/11,FA Cup,aston-villa,3,2,"1,50",0,1,0,1,0,0,1,0,0,0,180'
3543,England,AshleyYoung,Left Midfield,10/11,League Cup,aston-villa,3,3,"2,00",2,2,0,0,0,1,0,0,0,150',568'
3544,England,AshleyYoung,Left Midfield,10/11,Europa League Qualifiers,aston-villa,1,1,"0,00",0,1,0,0,0,1,0,0,0,0,1.463'
3545,England,AshleyYoung,Left Midfield,09/10,Premier League,aston-villa,37,37,"1,73",5,10,0,0,3,6,0,0,1,661',494'
3546,England,AshleyYoung,Left Midfield,09/10,FA Cup,aston-villa,6,6,"2,17",2,3,0,0,1,1,0,0,0,268',136'
3547,England,AshleyYoung,Left Midfield,09/10,League Cup,aston-villa,5,5,"2,40",2,3,0,0,0,0,0,0,0,240',49'
3548,England,AshleyYoung,Left Midfield,09/10,Europa League Qualifiers,aston-villa,2,2,"1,50",0,1,0,0,0,1,0,0,0,0,100'
3549,England,AshleyYoung,Left Midfield,08/09,Premier League,aston-villa,36,36,"1,61",7,8,0,0,3,7,0,1,0,456',810'
3550,England,AshleyYoung,Left Midfield,08/09,UEFA Cup,aston-villa,5,5,"1,60",0,2,0,0,1,0,0,0,0,0,2.246'
