,Nation,Player,Position,Season,"reihenfolge ASC, saison_id DESC, verein_id ASC",Club(s),Squad,Apps,PPM,Goals,Assists,own goals,Substituted on,Substituted off,Yellow cards,Yellow/red cards,Red cards,Penalty goals,Minutes per goal,Minutes played
517,France,ThomasLemar,Left Wing,17/18,Ligue 1,as-monaco,30,30,"2,20",2,10,0,3,8,1,0,0,0,1.192',360'
518,France,ThomasLemar,Left Wing,17/18,Coupe de la Ligue,as-monaco,3,3,"2,00",1,0,0,1,0,0,0,0,0,208',130'
519,France,ThomasLemar,Left Wing,17/18,Coupe de France,as-monaco,1,1,"3,00",0,0,0,1,0,1,0,0,0,0,3.203'
520,France,ThomasLemar,Left Wing,17/18,Champions League,as-monaco,3,3,"0,33",0,0,0,0,2,0,0,0,0,0,346'
521,France,ThomasLemar,Left Wing,17/18,Trophée des Champions,as-monaco,1,1,"0,00",0,0,0,0,0,0,0,0,0,0,149'
522,France,ThomasLemar,Left Wing,16/17,Ligue 1,as-monaco,36,34,"2,44",9,11,0,6,8,1,0,0,0,290',2.913'
523,France,ThomasLemar,Left Wing,16/17,Champions League,as-monaco,12,12,"1,67",2,5,0,3,2,2,0,0,0,447',295'
524,France,ThomasLemar,Left Wing,16/17,Coupe de la Ligue,as-monaco,3,3,"2,00",1,0,0,0,1,1,0,0,0,287',63'
525,France,ThomasLemar,Left Wing,16/17,Coupe de France,as-monaco,2,2,"3,00",2,0,0,1,1,0,0,0,0,44',210'
526,France,ThomasLemar,Left Wing,16/17,Champions League Qualification,as-monaco,4,4,"2,25",0,1,0,0,2,1,0,0,0,0,3.314'
527,France,ThomasLemar,Left Wing,15/16,Ligue 1,as-monaco,28,26,"1,65",5,3,0,6,10,1,0,0,0,362',120'
528,France,ThomasLemar,Left Wing,15/16,Coupe de France,as-monaco,2,2,"1,50",0,2,0,1,0,0,0,0,0,0,180'
529,France,ThomasLemar,Left Wing,15/16,Coupe de la Ligue,as-monaco,1,1,"0,00",0,0,0,1,0,0,0,0,0,0,1.829'
530,France,ThomasLemar,Left Wing,15/16,Europa League,as-monaco,4,4,"1,25",0,0,0,2,2,0,0,0,0,0,210'
531,France,ThomasLemar,Left Wing,15/16,Champions League Qualification,as-monaco,1,1,"3,00",0,0,0,1,0,0,0,0,0,0,120'
532,France,ThomasLemar,Left Wing,14/15,Ligue 1,sm-caen,33,25,"1,28",1,4,0,19,5,1,0,0,0,716',90'
533,France,ThomasLemar,Left Wing,14/15,Coupe de France,sm-caen,1,-,0,0,0,0,0,0,0,0,0,0,0,343'
534,France,ThomasLemar,Left Wing,14/15,Coupe de la Ligue,sm-caen,1,1,"0,00",0,1,0,0,0,0,0,0,0,0,9'
535,France,ThomasLemar,Left Wing,13/14,Ligue 2,sm-caen,17,7,"1,86",0,1,0,6,1,0,0,0,0,0,65'
536,France,ThomasLemar,Left Wing,13/14,Coupe de France,sm-caen,2,-,0,0,0,0,0,0,0,0,0,0,0,113'
537,France,ThomasLemar,Left Wing,13/14,Coupe de la Ligue,sm-caen,2,2,"1,50",0,0,0,2,0,0,0,0,0,0,2.633'
1368,Spain,MarcoAsensio,Left Wing,17/18,Champions League,real-madrid,12,12,"2,17",1,1,0,9,2,0,0,0,0,472',2.263'
1369,Spain,MarcoAsensio,Left Wing,17/18,LaLiga,real-madrid,35,32,"1,94",6,5,0,13,7,2,0,0,0,307',180'
1370,Spain,MarcoAsensio,Left Wing,17/18,Copa del Rey,real-madrid,5,5,"2,00",2,0,0,0,2,0,0,0,1,209',180'
1371,Spain,MarcoAsensio,Left Wing,17/18,Club World Cup,real-madrid,2,1,"3,00",0,0,0,1,0,0,0,0,0,0,90'
1372,Spain,MarcoAsensio,Left Wing,17/18,Supercopa,real-madrid,2,2,"3,00",2,0,0,1,1,0,0,0,0,49',1.001'
