,Nation,Player,Position,Season,"reihenfolge ASC, saison_id DESC, verein_id ASC",Club(s),Squad,Apps,PPM,Goals,Assists,own goals,Substituted on,Substituted off,Yellow cards,Yellow/red cards,Red cards,Penalty goals,Minutes per goal,Minutes played
264,France,BenjaminMendy,Left-Back,17/18,Premier League,manchester-city,8,7,"2,71",0,1,0,3,1,2,0,0,0,0,180'
265,France,BenjaminMendy,Left-Back,17/18,Premier League 2,manchester-city-u21,1,1,"1,00",0,0,0,0,1,0,0,0,0,0,270'
266,France,BenjaminMendy,Left-Back,17/18,Champions League,manchester-city,1,1,"3,00",0,0,0,0,0,0,0,0,0,0,2.151'
267,France,BenjaminMendy,Left-Back,16/17,Ligue 1,as-monaco,25,25,"2,44",0,5,0,1,3,6,0,1,0,0,278'
268,France,BenjaminMendy,Left-Back,16/17,Champions League,as-monaco,8,7,"1,86",0,4,0,1,1,1,0,0,0,0,90'
269,France,BenjaminMendy,Left-Back,16/17,Coupe de France,as-monaco,3,2,"3,00",1,2,0,0,1,0,0,0,0,213',90'
270,France,BenjaminMendy,Left-Back,16/17,Coupe de la Ligue,as-monaco,2,2,"1,50",0,0,0,1,0,1,0,0,0,0,1.263'
271,France,BenjaminMendy,Left-Back,16/17,Champions League Qualification,as-monaco,3,3,"2,00",0,0,0,0,0,0,1,0,0,0,2.609'
272,France,BenjaminMendy,Left-Back,15/16,Coupe de France,olympique-marseille,4,4,"2,25",0,1,0,0,2,2,0,0,0,0,118'
273,France,BenjaminMendy,Left-Back,15/16,Ligue 1,olympique-marseille,24,24,"1,38",1,1,0,2,1,7,0,1,0,1.952',360'
274,France,BenjaminMendy,Left-Back,15/16,Europa League,olympique-marseille,7,7,"1,86",0,2,0,0,1,2,0,0,0,0,424'
275,France,BenjaminMendy,Left-Back,15/16,Coupe de la Ligue,olympique-marseille,1,1,"3,00",0,1,0,0,0,0,0,0,0,0,3.020'
276,France,BenjaminMendy,Left-Back,14/15,Ligue 1,olympique-marseille,33,33,"1,91",0,6,0,0,2,8,0,0,0,0,750'
277,France,BenjaminMendy,Left-Back,14/15,Coupe de France,olympique-marseille,1,1,"0,00",0,0,0,1,0,0,0,0,0,0,90'
278,France,BenjaminMendy,Left-Back,14/15,Coupe de la Ligue,olympique-marseille,1,1,"0,00",0,0,0,0,0,0,0,0,0,0,833'
279,France,BenjaminMendy,Left-Back,13/14,Ligue 1,olympique-marseille,37,24,"1,63",1,3,0,6,1,4,0,0,0,1.730',2.110'
280,France,BenjaminMendy,Left-Back,13/14,Coupe de France,olympique-marseille,2,2,"1,50",0,0,0,0,0,0,0,0,0,0,277'
