,Nation,Player,Position,Season,"reihenfolge ASC, saison_id DESC, verein_id ASC",Club(s),Squad,Apps,PPM,Goals,Assists,own goals,Substituted on,Substituted off,Yellow cards,Yellow/red cards,Red cards,Penalty goals,Minutes per goal,Minutes played
6711,Uruguay,CarlosSánchez,Right Midfield,17/18,Liga MX Clausura,cf-monterrey,11,11,"1,82",1,2,0,7,2,1,0,0,0,519',0
6712,Uruguay,CarlosSánchez,Right Midfield,17/18,Copa MX Apertura,cf-monterrey,4,4,"3,00",4,0,0,1,0,1,0,0,0,74',2.880'
6713,Uruguay,CarlosSánchez,Right Midfield,17/18,Liguilla Apertura,cf-monterrey,6,6,"2,17",2,0,0,0,4,2,0,0,1,233',180'
6714,Uruguay,CarlosSánchez,Right Midfield,17/18,Liga MX Apertura,cf-monterrey,14,14,"2,36",1,4,0,1,1,3,0,0,0,1.209',2.337'
6715,Uruguay,CarlosSánchez,Right Midfield,16/17,Liguilla Clausura,cf-monterrey,2,2,"0,00",0,0,0,1,0,0,0,0,0,0,205'
6716,Uruguay,CarlosSánchez,Right Midfield,16/17,Liga MX Clausura,cf-monterrey,13,14,"1,79",1,5,0,3,3,0,0,0,0,996',2.752'
6717,Uruguay,CarlosSánchez,Right Midfield,16/17,Copa MX Clausura,cf-monterrey,1,1,"0,00",0,0,0,0,1,0,0,0,0,0,180'
6718,Uruguay,CarlosSánchez,Right Midfield,16/17,Liga MX Apertura,cf-monterrey,17,17,"1,47",3,4,0,1,5,4,0,0,0,477',1.438'
6719,Uruguay,CarlosSánchez,Right Midfield,16/17,CONCACAF Champions League,cf-monterrey,2,2,"0,00",0,0,0,0,1,1,0,0,0,0,1.077'
6720,Uruguay,CarlosSánchez,Right Midfield,15/16,Liguilla Clausura,cf-monterrey,4,4,"1,50",2,2,0,0,0,0,0,0,0,180',1.404'
6721,Uruguay,CarlosSánchez,Right Midfield,15/16,Liga MX Clausura,cf-monterrey,17,17,"2,18",6,7,0,1,5,3,0,0,1,232',90'
6722,Uruguay,CarlosSánchez,Right Midfield,15/16,Copa MX Clausura,cf-monterrey,4,4,"1,75",0,1,0,2,2,1,0,0,0,0,90'
6723,Uruguay,CarlosSánchez,Right Midfield,15/16,Club World Cup,club-atletico-river-plate,2,2,"1,50",0,0,0,0,0,0,0,0,0,0,3.060'
6724,Uruguay,CarlosSánchez,Right Midfield,2015,Copa Sudamericana,club-atletico-river-plate,6,6,"1,17",3,0,0,0,0,0,0,1,0,180',210'
6725,Uruguay,CarlosSánchez,Right Midfield,14/15,Primera División,club-atletico-river-plate,15,15,"1,40",2,1,0,3,3,2,0,0,0,530',90'
6726,Uruguay,CarlosSánchez,Right Midfield,2015,Suruga Bank Championship,club-atletico-river-plate,1,1,"3,00",1,1,0,0,1,0,0,0,1,78',2.691'
6727,Uruguay,CarlosSánchez,Right Midfield,2015,Libertadores,club-atletico-river-plate,14,14,"1,57",4,0,0,0,2,4,0,0,2,312',90'
6728,Uruguay,CarlosSánchez,Right Midfield,2015,Recopa Sudamericana,club-atletico-river-plate,2,2,"3,00",2,0,0,0,0,1,0,0,0,90',0
6729,Uruguay,CarlosSánchez,Right Midfield,14/15,Transición,club-atletico-river-plate,16,16,"2,38",5,4,0,1,2,3,0,0,0,272',270'
6730,Uruguay,CarlosSánchez,Right Midfield,2014,Copa Sudamericana,club-atletico-river-plate,9,9,"2,56",1,3,0,0,2,1,1,0,0,775',90'
6731,Uruguay,CarlosSánchez,Right Midfield,13/14,Liga MX Clausura,puebla-fc,8,8,"1,25",2,2,0,1,1,1,0,0,1,328',90'
