,Nation,Player,Position,Season,"reihenfolge ASC, saison_id DESC, verein_id ASC",Club(s),Squad,Apps,PPM,Goals,Assists,own goals,Substituted on,Substituted off,Yellow cards,Yellow/red cards,Red cards,Penalty goals,Minutes per goal,Minutes played
538,France,KylianMbappé,Right Wing,17/18,Ligue 1,fc-paris-saint-germain,29,27,"2,30",13,8,0,3,5,2,0,0,0,161',636'
539,France,KylianMbappé,Right Wing,17/18,Coupe de France,fc-paris-saint-germain,5,5,"3,00",4,3,0,0,3,0,0,0,0,100',736'
540,France,KylianMbappé,Right Wing,17/18,Coupe de la Ligue,fc-paris-saint-germain,4,4,"3,00",0,2,0,1,0,0,0,1,0,0,140'
541,France,KylianMbappé,Right Wing,17/18,Champions League,fc-paris-saint-germain,8,8,"1,88",4,3,0,0,5,1,0,0,0,165',630'
542,France,KylianMbappé,Right Wing,17/18,Ligue 1,as-monaco,3,1,"3,00",0,0,0,0,1,0,0,0,0,0,2.192'
543,France,KylianMbappé,Right Wing,17/18,Trophée des Champions,as-monaco,1,1,"0,00",0,0,0,0,1,0,0,0,0,0,651'
544,France,KylianMbappé,Right Wing,16/17,Ligue 1,as-monaco,35,29,"2,55",15,11,0,12,12,2,0,0,0,100',90'
545,France,KylianMbappé,Right Wing,16/17,Champions League,as-monaco,10,9,"1,56",6,0,0,3,3,0,0,0,0,89',451'
546,France,KylianMbappé,Right Wing,16/17,Coupe de France,as-monaco,4,3,"3,00",2,3,0,0,0,0,0,0,0,165',2.591'
547,France,KylianMbappé,Right Wing,16/17,Coupe de la Ligue,as-monaco,4,3,"2,00",3,0,0,0,1,0,0,0,0,99',596'
548,France,KylianMbappé,Right Wing,15/16,Ligue 1,as-monaco,13,11,"1,55",1,1,0,9,2,1,0,0,0,289',180'
549,France,KylianMbappé,Right Wing,15/16,Coupe de France,as-monaco,2,1,"3,00",0,0,0,0,1,0,0,0,0,0,55'
550,France,KylianMbappé,Right Wing,15/16,Coupe de la Ligue,as-monaco,1,1,"0,00",0,0,0,0,0,0,0,0,0,0,120'
551,France,KylianMbappé,Right Wing,15/16,Europa League,as-monaco,1,1,"0,00",0,1,0,1,0,0,0,0,0,0,990'
552,France,KylianMbappé,Right Wing,14/15,UEFA Youth League,as-monaco-uefa-u19,1,1,"0,00",0,1,0,1,0,0,0,0,0,0,525'
553,France,OusmaneDembélé,Right Wing,17/18,LaLiga,fc-barcelona,20,17,"2,35",3,7,0,5,10,2,0,0,0,310',2.384'
554,France,OusmaneDembélé,Right Wing,17/18,Copa del Rey,fc-barcelona,3,3,"2,33",0,1,0,3,0,0,0,0,0,0,2.311'
555,France,OusmaneDembélé,Right Wing,17/18,Champions League,fc-barcelona,5,3,"2,00",1,0,0,1,2,0,0,0,0,143',722'
556,France,OusmaneDembélé,Right Wing,17/18,DFL-Supercup,borussia-dortmund,1,1,"0,00",0,1,0,0,0,0,0,0,0,0,180'
557,France,OusmaneDembélé,Right Wing,16/17,DFB-Pokal,borussia-dortmund,6,6,"3,00",2,2,0,1,1,2,0,0,0,255',180'
558,France,OusmaneDembélé,Right Wing,16/17,1.Bundesliga,borussia-dortmund,33,32,"1,81",6,13,0,10,14,7,0,0,0,340',2.403'
559,France,OusmaneDembélé,Right Wing,16/17,Champions League,borussia-dortmund,10,10,"1,70",2,6,0,1,5,1,0,0,0,385',684'
560,France,OusmaneDembélé,Right Wing,16/17,DFL-Supercup,borussia-dortmund,1,1,"0,00",0,0,0,0,1,1,0,0,0,0,360'
561,France,OusmaneDembélé,Right Wing,15/16,Ligue 1,fc-stade-rennes,26,26,"1,35",12,5,0,4,8,1,0,0,1,162',180'
562,France,OusmaneDembélé,Right Wing,15/16,Coupe de France,fc-stade-rennes,2,2,"1,50",0,0,0,1,0,0,0,0,0,0,720'
