,Nation,Player,Position,Season,"reihenfolge ASC, saison_id DESC, verein_id ASC",Club(s),Squad,Apps,PPM,Goals,Assists,own goals,Substituted on,Substituted off,Yellow cards,Yellow/red cards,Red cards,Penalty goals,Minutes per goal,Minutes played
310,France,DjibrilSidibé,Right-Back,17/18,Ligue 1,as-monaco,29,27,"2,19",2,8,0,2,6,4,0,0,0,1.079',180'
311,France,DjibrilSidibé,Right-Back,17/18,Coupe de la Ligue,as-monaco,4,3,"2,00",0,1,0,0,0,0,0,0,0,0,540'
312,France,DjibrilSidibé,Right-Back,17/18,Coupe de France,as-monaco,2,1,"0,00",0,0,1,0,0,0,0,0,0,0,90'
313,France,DjibrilSidibé,Right-Back,17/18,Champions League,as-monaco,4,3,"0,33",0,0,0,0,2,2,0,0,0,0,3.317'
314,France,DjibrilSidibé,Right-Back,17/18,Trophée des Champions,as-monaco,1,1,"0,00",1,0,0,0,1,1,0,0,0,77',180'
315,France,DjibrilSidibé,Right-Back,16/17,Ligue 1,as-monaco,30,29,"2,41",2,6,0,3,3,7,0,0,0,1.161',0
316,France,DjibrilSidibé,Right-Back,16/17,Champions League,as-monaco,9,9,"1,56",1,1,0,0,0,2,0,0,0,810',180'
317,France,DjibrilSidibé,Right-Back,16/17,Coupe de France,as-monaco,3,2,"3,00",0,0,0,1,0,1,0,0,0,0,90'
318,France,DjibrilSidibé,Right-Back,16/17,Coupe de la Ligue,as-monaco,4,4,"2,25",0,1,0,1,2,0,0,0,0,0,788'
319,France,DjibrilSidibé,Right-Back,16/17,Champions League Qualification,as-monaco,3,3,"2,00",0,0,0,0,0,1,0,0,0,0,90'
320,France,DjibrilSidibé,Right-Back,15/16,Ligue 1,osc-lille,37,37,"1,59",4,3,0,1,0,3,0,0,0,819',510'
321,France,DjibrilSidibé,Right-Back,15/16,Coupe de la Ligue,osc-lille,5,4,"2,25",2,0,0,0,0,0,0,0,0,195',116'
322,France,DjibrilSidibé,Right-Back,15/16,Coupe de France,osc-lille,2,2,"1,50",0,0,0,1,0,1,0,0,0,0,2.354'
323,France,DjibrilSidibé,Right-Back,14/15,Ligue 1,osc-lille,31,25,"1,44",2,2,0,2,1,6,0,1,0,1.048',364'
324,France,DjibrilSidibé,Right-Back,14/15,Coupe de la Ligue,osc-lille,3,3,"2,00",0,1,0,0,0,1,0,0,0,0,494'
325,France,DjibrilSidibé,Right-Back,14/15,Coupe de France,osc-lille,1,1,"0,00",0,0,0,0,0,0,0,0,0,0,26'
326,France,DjibrilSidibé,Right-Back,14/15,Europa League,osc-lille,4,2,"0,50",0,0,0,1,0,0,0,0,0,0,19'
327,France,DjibrilSidibé,Right-Back,14/15,Champions League Qualification,osc-lille,3,1,"3,00",0,0,0,1,0,0,0,0,0,0,470'
328,France,DjibrilSidibé,Right-Back,13/14,Ligue 1,osc-lille,34,20,"2,00",0,0,0,6,1,3,0,0,0,0,2.413'
329,France,DjibrilSidibé,Right-Back,13/14,Coupe de France,osc-lille,4,3,"3,00",0,0,0,0,0,0,0,0,0,0,136'
330,France,DjibrilSidibé,Right-Back,13/14,Coupe de la Ligue,osc-lille,1,1,"0,00",0,0,0,0,0,0,0,0,0,0,701'
331,France,DjibrilSidibé,Right-Back,12/13,Ligue 1,osc-lille,28,14,"1,79",1,1,0,7,0,3,0,0,0,777',0
332,France,DjibrilSidibé,Right-Back,12/13,Coupe de France,osc-lille,3,2,"3,00",0,0,0,0,0,0,0,0,0,0,333'
333,France,DjibrilSidibé,Right-Back,12/13,Coupe de la Ligue,osc-lille,3,1,"3,00",1,0,0,1,0,0,0,0,0,82',2.063'
334,France,DjibrilSidibé,Right-Back,12/13,Champions League,osc-lille,5,3,"1,00",1,0,0,1,0,1,1,0,0,169',106'
335,France,DjibrilSidibé,Right-Back,12/13,Champions League Qualification,osc-lille,1,-,0,0,0,0,0,0,0,0,0,0,0,761'
336,France,DjibrilSidibé,Right-Back,11/12,Ligue 2,es-troyes-ac,34,34,"1,62",1,1,0,2,6,7,0,0,0,2.792',90'
337,France,DjibrilSidibé,Right-Back,11/12,Coupe de France,es-troyes-ac,2,2,"1,50",0,0,0,0,0,0,0,0,0,0,301'
338,France,DjibrilSidibé,Right-Back,11/12,Coupe de la Ligue,es-troyes-ac,1,1,"0,00",0,0,0,0,0,1,0,0,0,0,2.187'
339,France,DjibrilSidibé,Right-Back,10/11,Ligue 2,es-troyes-ac,7,6,"2,00",0,1,0,0,0,0,0,0,0,0,867'
1006,Spain,DanielCarvajal,Right-Back,17/18,Champions League,real-madrid,8,8,"2,63",0,3,0,0,2,4,0,0,0,0,157'
1007,Spain,DanielCarvajal,Right-Back,17/18,LaLiga,real-madrid,26,25,"2,00",0,2,0,0,0,11,0,1,0,0,808'
1008,Spain,DanielCarvajal,Right-Back,17/18,Copa del Rey,real-madrid,4,4,"1,75",0,1,0,1,1,0,0,0,0,0,2.613'
1009,Spain,DanielCarvajal,Right-Back,17/18,Club World Cup,real-madrid,2,1,"3,00",0,0,0,0,0,0,0,0,0,0,561'
1010,Spain,DanielCarvajal,Right-Back,17/18,Supercopa,real-madrid,2,2,"3,00",0,0,0,0,0,1,0,0,0,0,2.695'
1011,Spain,DanielCarvajal,Right-Back,17/18,UEFA Supercup,real-madrid,1,1,"3,00",0,1,0,0,0,1,0,0,0,0,518'
1012,Spain,DanielCarvajal,Right-Back,16/17,Champions League,real-madrid,12,11,"2,45",0,5,0,0,1,2,0,0,0,0,481'
1013,Spain,DanielCarvajal,Right-Back,16/17,LaLiga,real-madrid,30,23,"2,09",0,5,0,2,0,9,0,0,0,0,180'
1014,Spain,DanielCarvajal,Right-Back,16/17,Copa del Rey,real-madrid,4,4,"2,50",0,2,0,1,2,1,0,0,0,0,33'
1015,Spain,DanielCarvajal,Right-Back,16/17,Club World Cup,real-madrid,2,2,"3,00",0,0,0,0,0,1,0,0,0,0,41'
1016,Spain,DanielCarvajal,Right-Back,16/17,UEFA Supercup,real-madrid,1,1,"3,00",1,0,0,0,0,1,0,0,0,120',530'
1017,Spain,DanielCarvajal,Right-Back,15/16,Champions League,real-madrid,10,8,"2,75",1,1,0,0,1,3,0,0,0,682',1.648'
1018,Spain,DanielCarvajal,Right-Back,15/16,LaLiga,real-madrid,25,22,"2,27",0,4,0,3,6,6,0,0,0,0,360'
1019,Spain,DanielCarvajal,Right-Back,14/15,LaLiga,real-madrid,33,30,"2,37",0,3,0,5,5,12,0,0,0,0,10'
1020,Spain,DanielCarvajal,Right-Back,14/15,Champions League,real-madrid,8,5,"1,60",0,1,0,0,2,1,0,0,0,0,1.671'
1021,Spain,DanielCarvajal,Right-Back,14/15,Copa del Rey,real-madrid,4,3,"1,33",0,0,0,1,0,2,0,0,0,0,306'
1022,Spain,DanielCarvajal,Right-Back,14/15,Club World Cup,real-madrid,2,2,"3,00",0,1,0,0,1,1,0,0,0,0,120'
1023,Spain,DanielCarvajal,Right-Back,14/15,Supercopa,real-madrid,2,2,"0,50",0,0,0,0,0,0,0,0,0,0,220'
1024,Spain,DanielCarvajal,Right-Back,14/15,UEFA Supercup,real-madrid,1,1,"3,00",0,0,0,0,0,1,0,0,0,0,498'
1025,Spain,DanielCarvajal,Right-Back,13/14,Champions League,real-madrid,13,10,"2,70",0,1,0,2,0,1,0,0,0,0,65'
1026,Spain,DanielCarvajal,Right-Back,13/14,LaLiga,real-madrid,34,31,"2,39",2,2,0,6,5,5,0,0,0,1.117',135'
1027,Spain,DanielCarvajal,Right-Back,13/14,Copa del Rey,real-madrid,9,4,"2,50",0,0,0,0,1,1,0,0,0,0,447'
1028,Spain,DanielCarvajal,Right-Back,12/13,1.Bundesliga,bayer-04-leverkusen,33,32,"1,94",1,8,0,1,5,7,0,0,0,2.780',735'
1029,Spain,DanielCarvajal,Right-Back,12/13,Europa League,bayer-04-leverkusen,4,2,"1,50",0,0,0,0,1,2,0,0,0,0,1.780'
1030,Spain,DanielCarvajal,Right-Back,12/13,DFB-Pokal,bayer-04-leverkusen,3,2,"1,50",0,0,0,0,0,1,0,0,0,0,137'
1031,Spain,DanielCarvajal,Right-Back,11/12,2ª B - Grupo I,real-madrid-b-castilla-,2,2,"3,00",0,0,0,0,0,1,0,0,0,0,141'
1032,Spain,CésarAzpilicueta,Right-Back,17/18,FA Cup,fc-chelsea,4,4,"3,00",0,1,0,0,0,0,0,0,0,0,90'
1033,Spain,CésarAzpilicueta,Right-Back,17/18,Premier League,fc-chelsea,38,37,"1,81",2,6,1,0,0,1,0,0,0,1.665',74'
1034,Spain,CésarAzpilicueta,Right-Back,17/18,Champions League,fc-chelsea,8,8,"1,50",1,0,0,0,1,0,0,0,0,705',386'
1035,Spain,CésarAzpilicueta,Right-Back,17/18,EFL Cup,fc-chelsea,2,2,"0,50",0,0,0,0,0,0,0,0,0,0,1.637'
1036,Spain,CésarAzpilicueta,Right-Back,17/18,Community Shield,fc-chelsea,1,1,"0,00",0,0,0,0,0,1,0,0,0,0,211'
1037,Spain,CésarAzpilicueta,Right-Back,16/17,FA Cup,fc-chelsea,6,6,"2,50",0,0,0,2,1,0,0,0,0,0,39'
1038,Spain,CésarAzpilicueta,Right-Back,16/17,Premier League,fc-chelsea,38,38,"2,45",1,5,0,0,0,4,0,0,0,3.420',66'
1039,Spain,CésarAzpilicueta,Right-Back,16/17,EFL Cup,fc-chelsea,3,3,"2,00",1,2,0,0,0,0,0,0,0,300',709'
1040,Spain,CésarAzpilicueta,Right-Back,15/16,Premier League,fc-chelsea,38,37,"1,35",2,4,0,1,3,7,0,0,0,1.601',1.828'
1041,Spain,CésarAzpilicueta,Right-Back,15/16,FA Cup,fc-chelsea,4,3,"2,00",0,1,0,0,0,0,0,0,0,0,90'
1042,Spain,CésarAzpilicueta,Right-Back,15/16,Champions League,fc-chelsea,8,8,"1,63",0,0,0,0,0,1,0,0,0,0,2.339'
1043,Spain,CésarAzpilicueta,Right-Back,15/16,League Cup,fc-chelsea,1,-,0,0,0,0,0,0,0,0,0,0,0,869'
1044,Spain,CésarAzpilicueta,Right-Back,15/16,Community Shield,fc-chelsea,1,1,"0,00",0,0,0,0,1,1,0,0,0,0,346'
1045,Spain,CésarAzpilicueta,Right-Back,14/15,Premier League,fc-chelsea,35,29,"2,45",0,3,0,0,2,1,0,1,0,0,166'
1046,Spain,CésarAzpilicueta,Right-Back,14/15,Champions League,fc-chelsea,8,4,"2,00",0,0,0,0,0,1,0,0,0,0,25'
1047,Spain,CésarAzpilicueta,Right-Back,14/15,League Cup,fc-chelsea,5,5,"2,60",0,0,0,2,0,0,0,0,0,0,18'
1048,Spain,CésarAzpilicueta,Right-Back,14/15,FA Cup,fc-chelsea,2,2,"1,50",0,1,0,0,0,0,0,0,0,0,641'
1049,Spain,CésarAzpilicueta,Right-Back,13/14,Premier League,fc-chelsea,35,29,"2,17",0,1,0,3,2,1,0,0,0,0,1.993'
1050,Spain,CésarAzpilicueta,Right-Back,13/14,Champions League,fc-chelsea,11,10,"1,70",0,3,0,1,0,0,0,0,0,0,532'
1051,Spain,CésarAzpilicueta,Right-Back,13/14,FA Cup,fc-chelsea,3,2,"1,50",0,0,0,0,0,0,0,0,0,0,3.064'
1052,Spain,CésarAzpilicueta,Right-Back,13/14,League Cup,fc-chelsea,3,3,"2,00",1,0,0,0,1,1,0,0,0,250',708'
1053,Spain,CésarAzpilicueta,Right-Back,13/14,UEFA Supercup,fc-chelsea,1,-,0,0,0,0,0,0,0,0,0,0,0,0
1054,Spain,CésarAzpilicueta,Right-Back,12/13,Premier League,fc-chelsea,35,27,"1,85",0,6,1,3,1,4,0,0,0,0,180'
1055,Spain,CésarAzpilicueta,Right-Back,12/13,Europa League,fc-chelsea,9,8,"2,38",0,0,0,0,0,2,0,0,0,0,2.515'
1056,Spain,CésarAzpilicueta,Right-Back,12/13,FA Cup,fc-chelsea,6,5,"1,60",0,0,0,1,0,2,0,0,0,0,195'
1057,Spain,CésarAzpilicueta,Right-Back,12/13,League Cup,fc-chelsea,5,5,"2,00",0,0,0,0,0,0,0,0,0,0,61'
1058,Spain,CésarAzpilicueta,Right-Back,12/13,Club World Cup,fc-chelsea,2,2,"1,50",0,0,0,1,0,0,0,0,0,0,80'
1059,Spain,CésarAzpilicueta,Right-Back,12/13,Champions League,fc-chelsea,6,1,"0,00",0,0,0,0,1,0,0,0,0,0,56'
1060,Spain,CésarAzpilicueta,Right-Back,12/13,Ligue 1,olympique-marseille,2,2,"3,00",0,0,0,0,0,0,0,0,0,0,0
1061,Spain,CésarAzpilicueta,Right-Back,12/13,Europa League Qualifiers,olympique-marseille,1,1,"3,00",0,0,0,1,0,0,0,0,0,0,2.437'
1062,Spain,CésarAzpilicueta,Right-Back,11/12,Ligue 1,olympique-marseille,34,30,"1,27",1,2,0,3,4,5,0,0,0,2.511',426'
1063,Spain,CésarAzpilicueta,Right-Back,11/12,Coupe de la Ligue,olympique-marseille,4,3,"3,00",0,0,0,0,0,0,0,0,0,0,180'
1064,Spain,CésarAzpilicueta,Right-Back,11/12,Champions League,olympique-marseille,10,8,"1,50",0,0,0,0,1,0,0,0,0,0,155'
1065,Spain,CésarAzpilicueta,Right-Back,11/12,Coupe de France,olympique-marseille,3,3,"3,00",0,2,0,0,0,0,0,0,0,0,2.767'
1066,Spain,CésarAzpilicueta,Right-Back,11/12,Trophée des Champions,olympique-marseille,1,-,0,0,0,0,0,0,0,0,0,0,0,249'
1067,Spain,CésarAzpilicueta,Right-Back,10/11,Ligue 1,olympique-marseille,16,15,"1,60",0,1,0,3,4,1,0,0,0,0,540'
1068,Spain,CésarAzpilicueta,Right-Back,10/11,Champions League,olympique-marseille,5,4,"2,25",0,1,1,0,0,0,0,0,0,0,90'
1069,Spain,CésarAzpilicueta,Right-Back,10/11,Coupe de la Ligue,olympique-marseille,2,1,"3,00",1,0,0,0,0,1,0,0,0,90',629'
1070,Spain,CésarAzpilicueta,Right-Back,10/11,Trophée des Champions,olympique-marseille,1,1,"3,00",0,0,0,0,0,0,0,0,0,0,1.801'
1071,Spain,CésarAzpilicueta,Right-Back,09/10,LaLiga,ca-osasuna,33,33,"1,12",0,1,0,0,0,7,0,0,0,0,363'
1072,Spain,CésarAzpilicueta,Right-Back,09/10,Copa del Rey,ca-osasuna,6,5,"1,80",0,0,0,1,0,0,0,0,0,0,0
1073,Spain,CésarAzpilicueta,Right-Back,08/09,LaLiga,ca-osasuna,36,36,"1,14",0,1,0,0,2,7,1,0,0,0,2.661'
1074,Spain,CésarAzpilicueta,Right-Back,08/09,Copa del Rey,ca-osasuna,2,2,"2,00",0,0,0,0,0,0,0,0,0,0,449'
1075,Spain,CésarAzpilicueta,Right-Back,07/08,LaLiga,ca-osasuna,33,29,"1,10",0,1,0,1,0,8,0,0,0,0,119'
1076,Spain,ÁlvaroOdriozola,Right-Back,17/18,LaLiga,real-sociedad-san-sebastian,36,35,"1,14",0,4,0,3,3,2,1,0,0,0,9'
