,Nation,Player,Position,Season,"reihenfolge ASC, saison_id DESC, verein_id ASC",Club(s),Squad,Apps,PPM,Goals,Assists,own goals,Substituted on,Substituted off,Yellow cards,Yellow/red cards,Red cards,Penalty goals,Minutes per goal,Minutes played
2199,Brazil,RobertoFirmino,Secondary Striker,17/18,Champions League,fc-liverpool,13,13,"1,92",10,8,0,0,9,2,0,0,0,106',180'
2200,Brazil,RobertoFirmino,Secondary Striker,17/18,Premier League,fc-liverpool,38,37,"2,00",15,7,0,5,20,1,0,0,1,185',163'
2201,Brazil,RobertoFirmino,Secondary Striker,17/18,FA Cup,fc-liverpool,2,2,"1,50",1,1,0,0,0,0,0,0,0,180',135'
2202,Brazil,RobertoFirmino,Secondary Striker,17/18,Champions League Qualification,fc-liverpool,2,2,"3,00",1,1,0,0,1,0,0,0,0,174',90'
2203,Brazil,RobertoFirmino,Secondary Striker,16/17,Premier League,fc-liverpool,35,35,"1,91",11,10,0,1,7,5,0,0,0,279',557'
2204,Brazil,RobertoFirmino,Secondary Striker,16/17,FA Cup,fc-liverpool,2,2,"0,50",0,0,0,1,1,0,0,0,0,0,2.064'
2205,Brazil,RobertoFirmino,Secondary Striker,16/17,EFL Cup,fc-liverpool,4,4,"1,50",1,1,0,0,3,0,0,0,0,315',986'
2206,Brazil,RobertoFirmino,Secondary Striker,15/16,Europa League,fc-liverpool,14,13,"1,77",1,3,0,2,9,2,0,0,0,931',118'
2207,Brazil,RobertoFirmino,Secondary Striker,15/16,Premier League,fc-liverpool,31,31,"1,71",10,8,0,7,17,1,0,0,0,198',120'
2208,Brazil,RobertoFirmino,Secondary Striker,15/16,League Cup,fc-liverpool,6,5,"2,00",0,0,0,0,3,0,0,0,0,0,86'
2209,Brazil,RobertoFirmino,Secondary Striker,14/15,1.Bundesliga,tsg-1899-hoffenheim,33,33,"1,33",7,10,0,0,9,5,0,0,0,417',590'
2210,Brazil,RobertoFirmino,Secondary Striker,14/15,DFB-Pokal,tsg-1899-hoffenheim,3,3,"2,00",3,2,0,0,1,2,0,0,0,94',1.924'
2211,Brazil,RobertoFirmino,Secondary Striker,13/14,1.Bundesliga,tsg-1899-hoffenheim,33,33,"1,24",16,12,0,0,3,5,0,0,2,182',253'
2212,Brazil,RobertoFirmino,Secondary Striker,13/14,DFB-Pokal,tsg-1899-hoffenheim,4,4,"2,25",6,4,0,0,1,1,0,0,0,64',90'
